,robot_id,sum_running_time,avg_inst_temperature,sum_running_circles,avg_current_fluctuation,joint
41,Zu7210031,11698161,42.42036671,1917677.0,29.01474025,2
42,Zu7250813,243977,55.668768500000006,291846.0,10.51190323,2
43,Zu7210180,11901451,53.58945589,727566.0,45.72410083,2
0,Zu7210015,10664959,40.48739798,58767.0,18.26045776,3
1,Zu7210070,23654346,38.626982,5179013.0,13.07217699,3
2,Zu12100040,1318601,49.989335,969168.0,15.68095,3
3,Zu3100091,13982800,49.634170000000005,383420.9063,0.698144,3
4,Zu7250098,12819108,40.46362245,1715363.0,0.527591027,3
5,C7300104,58058,48.0,95693.0,17.91780822,3
6,C7300105,179417,42.75280899,212483.0,12.5505618,3
7,Zu12100319,567558,47.60375765,72303.0,0.777063542,3
8,Zu12110106,204055,51.56159713,68321.7969,1.7862539259999999,3
9,Zu7210079,9599314,41.45251974,118370.8984,4.238392035,3
10,Zu3100177,18080651,50.565234999999994,1219616.0,4.13044,3
11,Zu7210116,10437925,42.31949553,1951466.0,1.025748818,3
12,Zu7210007,10313728,55.85019417,3580313.0,10.61263876,3
13,Zu7250287,9732965,39.1099036,85824.8984,0.095841694,3
14,Zu12100097,1132657,47.31925,1068651.0,17.599195,3
15,Zu3100212,16075144,51.679915,473033.0,3.767315,3
16,Zu7250085,4569545,29.93010753,183896.2969,0.12580645199999999,3
17,Zu3110009,12527521,50.53566312,266043.5938,0.489654641,3
18,Zu18100074,10440440,40.79323844,107830.2031,0.141350208,3
19,Zu3100022,5528419,51.217240000000004,612703.0,4.458945,3
20,Zu7270004,10618079,40.785595,79700.1016,0.354767,3
21,Zu12100236,11165534,41.4150811,91981.2031,0.09451022199999999,3
22,Zu7260015,10173797,43.01737599,93776.5,0.290161406,3
23,Zu7210133,15491980,42.51719518,2667033.0,24.21295221,3
24,Zu7250761,739960,39.34368932,168307.0,1.180194175,3
25,Zu7250768,737551,40.58410853,172902.0,1.003488372,3
26,Zu7250739,1646359,47.62038994,2154434.0,10.00018493,3
27,Zu5120148,337978,47.79890164,385839.0,7.422516352000001,3
28,Zu7250801,338093,50.7636206,491786.0,12.57913571,3
29,Zu7250790,910564,48.88293227,1179730.0,10.67775188,3
30,Zu7250806,243868,51.27926421,319846.0,10.77604837,3
31,Zu7250740,1906306,49.56909781,2799371.0,10.37056436,3
32,Zu7250809,252191,51.18828185,348581.0,8.333801379,3
33,Zu7250800,242653,51.42358408,332865.0,11.47067688,3
34,Zu7250812,242064,50.67958102,331100.0,9.148283695,3
35,Zu7250795,237591,49.67862671,237024.0,4.8443787810000005,3
36,Zu7250811,244323,51.50571091,327005.0,11.04896941,3
37,Zu7250805,243727,52.29624277,375746.0,10.72346295,3
38,Zu7250815,238737,51.5,325958.0,9.578218077999999,3
39,Zu7250797,236612,52.41733923,326170.0,9.412652955,3
40,Zu7250777,1317937,49.67051877,502306.0,9.726107127999999,3
41,Zu7210031,11698161,42.28743484,2201823.0,1.155132123,3
42,Zu7250813,243977,50.9733625,334181.0,11.03268563,3
43,Zu7210180,11901451,51.10267445,842548.0,20.88272364,3
0,Zu7210015,10664959,48.11241994,59513.0,0.608958776,4
1,Zu7210070,23654346,47.25549068,6667523.0,1.4923960790000002,4
2,Zu12100040,1318601,49.86588,1580378.0,14.47205,4
3,Zu3100091,13982800,47.783485,414698.1875,0.8753995000000001,4
4,Zu7250098,12819108,49.17131509,1802528.0,2.030588653,4
5,C7300104,58058,50.32876712,83248.0,16.8630137,4
6,C7300105,179417,46.61797753,226712.0,16.75280899,4
7,Zu12100319,567558,51.49419464,73999.7969,0.742347477,4
