robot_id,avg_current_fluctuation_1,avg_current_fluctuation_2,avg_current_fluctuation_3,avg_current_fluctuation_4,avg_current_fluctuation_5,avg_current_fluctuation_6,avg_inst_inst_temperature_1,avg_inst_inst_temperature_2,avg_inst_inst_temperature_3,avg_inst_inst_temperature_4,avg_inst_inst_temperature_5,avg_inst_inst_temperature_6,sum_running_time,sum_running_circles_1,sum_running_circles_2,sum_running_circles_3,sum_running_circles_4,sum_running_circles_5,sum_running_circles_6
Zu7250761,1.155339806,1.388349515,1.180194175,1.196504854,0.364271845,0.918446602,39.38679612,40.29514563,39.34368932,48.08271845,48.5561165,49.51378641,739960,128762,152956,168307,173933,81852,131062
Zu7250768,1.024031008,1.140697674,1.003488372,0.908527132,1.078682171,1.088372093,39.54069767,39.90813953,40.58410853,47.43875969,48.31821705,49.42325581,737551,122607,147879,172902,166366,85936,126960
Zu7250739,9.919687203,8.713383705,10.00018493,14.17304238,10.57587446,9.49558808,55.71047765,55.76947057,47.62038994,52.44750608,54.01907429,52.85826376,1646359,1533558,1889153,2154434,2317543,1068981,1761350
Zu5120148,7.274793286,9.814093546,7.422516352,10.16519807,10.07178823,8.505294335,52.33018635,52.78427743,47.79890164,49.60681229,51.55078366,50.09724793,337978,275280,337084,385839,401766,186297,306230
Zu7250801,9.381872214,11.62884473,12.57913571,18.10319465,16.14392645,16.99525136,52.69886082,54.65347945,50.7636206,51.10438336,52.89598811,51.93468301,338093,354907,429748,491786,514721,238664,392586
Zu7250790,10.81645383,12.48642527,10.67775188,18.97137323,16.12944421,17.17241719,51.33899084,53.07895342,48.88293227,50.40766882,52.17832638,50.54758544,910564,838333,1027080,1179730,1259285,585173,960148
Zu7250806,8.040648315,10.46231026,10.77604837,15.89670697,13.31926936,13.3505274,53.21803447,55.84075122,51.27926421,53.27347569,54.53048624,53.16979676,243868,227695,278865,319846,338174,156871,259309
Zu7250740,11.1060364,13.42016499,10.37056436,15.33005107,12.4944088,15.04766269,54.46604688,56.08780935,49.56909781,51.21429881,53.7984287,52.37768757,1906306,2000944,2455144,2799371,2934133,1364470,2239050
Zu7250809,7.416773041,10.08782231,8.333801379,14.13249936,12.04263467,11.34528976,53.41804953,55.15726321,51.18828185,52.79882563,54.27865714,52.59216237,252191,249777,305040,348581,363876,169053,277534
Zu7250800,7.841768178,11.86663318,11.47067688,15.61861108,14.23759889,14.10925531,53.65804345,55.19540374,51.42358408,52.58884842,55.21888735,52.5235464,242653,236946,290792,332865,347382,160930,264688
Zu7250812,8.124936901,10.92289248,9.148283695,17.18513377,11.8527259,11.61118122,53.00214538,54.57180717,50.67958102,53.53003534,55.20658758,53.57458354,242064,236799,289204,331100,344950,160078,263225
Zu7250795,4.042718447,4.957492613,4.844378781,6.815590263,5.401266357,4.764401294,50.88771634,53.27508091,49.67862671,52.23216547,53.93499367,52.81750387,237591,171112,207813,237024,241357,111864,184142
Zu7250811,9.456216358,11.18839438,11.04896941,16.83037941,15.84954707,14.67414993,54.90074833,55.93960877,51.50571091,53.29053433,54.69252987,52.7350663,244323,239544,291465,327005,355096,162815,266545
Zu7250805,8.891618497,12.16618497,10.72346295,18.78704677,15.00525486,13.83000525,54.21952181,57.44219653,52.29624277,53.80543878,55.62795586,53.46361009,243727,268166,327980,375746,393542,182610,300584
Zu7250815,8.327894328,10.58443408,9.578218078,14.23530174,12.70771821,11.42864543,52.0985496,54.57472157,51.5,53.12509713,54.60878011,53.36454286,238737,228191,279840,325958,339243,157442,259092
Zu7250797,6.978130695,9.770762822,9.412652955,15.24954439,14.95391825,10.85303306,55.25344962,56.96576412,52.41733923,53.64501432,54.46823744,52.97227285,236612,234191,285187,326170,336041,155912,256631
Zu7250777,7.882496837,9.842429355,9.726107128,14.67212147,11.70544074,10.96364403,53.75731759,55.38186419,49.67051877,52.68528047,53.8455504,52.71362294,1317937,349461,426682,502306,514930,239780,393495
Zu7210031,29.81062376,29.01474025,1.155132123,0.079633291,0.066331116,0.074330397,42.65288513,42.42036671,42.28743484,50.60282222,53.57603811,54.48570915,11698161,1552160,1917677,2201823,2337846,1086987,1778704
Zu7250813,7.972976451,10.51190323,11.03268563,14.81495303,13.72976451,12.58666838,53.73027924,55.6687685,50.9733625,54.49453095,55.99279372,53.55102303,243977,238995,291846,334181,347770,162472,265776
Zu7210180,36.06855211,45.72410083,20.88272364,12.80525669,6.987088841,6.278358438,54.51660006,53.58945589,51.10267445,55.42038119,58.30110667,58.45465724,11901451,602492,727566,842548,889497,419829,690507
