,ip,robot_id,cabinet_id,current_fluctuation_1,current_fluctuation_2,current_fluctuation_3,current_fluctuation_4,current_fluctuation_5,current_fluctuation_6,paused,task_mode,drag_status,ins_average_power_1,ins_average_power_2,ins_average_power_3,ins_average_power_4,ins_average_power_5,ins_average_power_6,cur_running_circles_1,cur_running_circles_2,cur_running_circles_3,cur_running_circles_4,cur_running_circles_5,cur_running_circles_6,joint_1_actual_position,joint_2_actual_position,joint_3_actual_position,joint_4_actual_position,joint_5_actual_position,joint_6_actual_position,inst_voltage_1,inst_voltage_2,inst_voltage_3,inst_voltage_4,inst_voltage_5,inst_voltage_6,sum_running_time,emergency_stop,powered_on,task_state,interp_state,protective_stop,actual_position_1,actual_position_2,actual_position_3,actual_position_4,actual_position_5,actual_position_6,rapid_rate,enabled,error_code,inpos,inst_temperature_1,inst_temperature_2,inst_temperature_3,inst_temperature_4,inst_temperature_5,inst_temperature_6,cur_running_time,sum_running_circles_1,sum_running_circles_2,sum_running_circles_3,sum_running_circles_4,sum_running_circles_5,sum_running_circles_6,rtc,health
0,192.168.2.137,Zu7250098,2019101010,0.5,1.0,0.8999999761581421,1.100000023841858,0.699999988079071,0.5,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.800048828125,754.0,6864.7001953125,4426.5,4973.2998046875,2764.300048828125,36.28026,89.99931,-103.415,146.8368,130.2105,0.01098633,48.0,47.0,48.0,47.0,47.0,47.0,14903815.0,0,1,4,1,0,240.78933559956818,405.1104070189901,428.3981959380528,-128.90617951398136,27.972208129292017,-23.56770449191955,1.0,True,0x0,True,46.0,48.0,51.0,54.0,54.0,55.0,65408.0,531302.3125,208920.796875,326382.59375,299989.0,334144.3125,204949.40625,1631150051333,1
1,192.168.2.137,Zu7250098,2019101010,0.6000000238418579,0.30000001192092896,0.800000011920929,0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.800048828125,754.0,6864.7001953125,4426.5,4973.2998046875,2764.300048828125,36.28026,89.99931,-103.415,146.8368,130.2105,0.01098633,48.0,47.0,48.0,47.0,47.0,47.0,14903815.0,0,1,4,1,0,240.78933559956818,405.1104070189901,428.3981959380528,-128.90617951398136,27.972208129292017,-23.56770449191955,1.0,True,0x0,True,46.0,48.0,51.0,54.0,54.0,55.0,65408.0,531302.3125,208920.796875,326382.59375,299989.0,334144.3125,204949.40625,1631150051519,1
2,192.168.2.137,Zu7250098,2019101010,0.6000000238418579,0.30000001192092896,0.800000011920929,0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.800048828125,754.0,6864.7001953125,4426.5,4973.2998046875,2764.300048828125,36.28026,89.99931,-103.415,146.8368,130.2105,0.01098633,48.0,47.0,48.0,47.0,47.0,47.0,14903815.0,0,1,4,1,0,240.78933559956818,405.1104070189901,428.3981959380528,-128.90617951398136,27.972208129292017,-23.56770449191955,1.0,True,0x0,True,46.0,48.0,51.0,54.0,54.0,55.0,65408.0,531302.3125,208920.796875,326382.59375,299989.0,334144.3125,204949.40625,1631150051677,1
3,192.168.2.137,Zu7250098,2019101010,0.6000000238418579,0.30000001192092896,0.800000011920929,0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.800048828125,754.0,6864.7001953125,4426.5,4973.2998046875,2764.300048828125,36.28026,89.1582306398417,-106.35391635026404,150.61679571042234,130.2105,0.01098632999997153,48.0,47.0,48.0,47.0,47.0,47.0,14903815.0,0,1,4,1,0,240.78933559956818,405.1104070189901,409.05011734605284,-128.90617951398136,27.972208129292017,-23.56770449191955,1.0,True,0x0,False,46.0,48.0,51.0,54.0,54.0,55.0,65408.0,531302.3125,208920.796875,326382.59375,299989.0,334144.3125,204949.40625,1631150051914,1
4,192.168.2.137,Zu7250098,2019101010,0.6000000238418579,0.30000001192092896,0.800000011920929,0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.800048828125,754.0,6864.7001953125,4426.5,4973.2998046875,2764.300048828125,36.302277821979544,87.50089242009993,-110.50556720883654,155.9744677727315,130.09369298815656,-0.4877143968993266,48.0,47.0,48.0,47.0,47.0,47.0,14903815.0,0,1,4,1,0,240.79438684324762,405.11411258118085,378.6671768397937,-129.22978595350472,27.7382538271146,-23.4989559524788,1.0,True,0x0,False,46.0,48.0,51.0,54.0,54.0,55.0,65408.0,531302.3125,208920.796875,326382.59375,299989.0,334144.3125,204949.40625,1631150052124,1
5,192.168.2.137,Zu7250098,2019101010,0.6000000238418579,0.30000001192092896,0.800000011920929,0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.89990234375,754.0,6865.0,4426.7001953125,4973.39990234375,2764.300048828125,37.756357433311095,89.93600619991787,-102.41190983302585,129.17739739510517,122.72082003969557,-18.37121088740145,48.0,47.0,48.0,47.0,47.0,47.0,14903817.0,0,1,4,1,0,240.91640155451702,405.2036218445401,385.16451277242965,-142.40806298234742,18.461690285738666,-19.569755465725557,1.0,True,0x0,False,46.0,48.0,51.0,54.0,54.0,55.0,65408.0,531302.375,208920.796875,326382.90625,299989.1875,334144.40625,204949.40625,1631150052336,1
6,192.168.2.137,Zu7250098,2019101010,0.6000000238418579,0.30000001192092896,0.800000011920929,0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.89990234375,754.0,6865.0,4426.7001953125,4973.39990234375,2764.300048828125,43.040660529915336,85.73935351820882,-83.737973919794,93.3149614996783,98.9706041602487,-40.32269147022043,48.0,47.0,48.0,47.0,47.0,47.0,14903817.0,0,1,4,1,0,241.10174485215268,405.33958858057827,395.0341232077021,-170.13082221189927,3.3487689075910603,-5.930108397346538,1.0,True,0x0,False,46.0,48.0,51.0,54.0,54.0,55.0,65410.0,531302.375,208920.796875,326382.90625,299989.1875,334144.40625,204949.40625,1631150052546,1
7,192.168.2.137,Zu7250098,2019101010,0.6000000238418579,0.30000001192092896,0.800000011920929,0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.89990234375,754.0,6865.0,4426.7001953125,4973.39990234375,2764.300048828125,45.13857047035188,83.31396435580895,-77.77429585854158,84.46033150273261,90.0,-44.86142952964813,48.0,47.0,48.0,47.0,47.0,47.0,14903817.0,0,1,4,1,0,241.19500000000008,405.408,400.0,180.0,-0.0,0.0,1.0,True,0x0,True,46.0,48.0,51.0,54.0,54.0,55.0,65410.0,531302.375,208920.796875,326382.90625,299989.1875,334144.40625,204949.40625,1631150052757,1
8,192.168.2.137,Zu7250098,2019101010,0.6000000238418579,0.30000001192092896,0.800000011920929,0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2,False,5.800000190734863,0.0,12.300000190734863,3.700000047683716,1.7000000476837158,0.0,2288.89990234375,754.0,6865.0,4426.7001953125,4973.39990234375,2764.300048828125,45.13857047035188,83.31396435580895,-77.77429585854158,84.46033150273261,90.0,-44.86142952964813,48.0,47.0,48.0,47.0,47.0,47.0,14903817.0,0,1,4,1,0,241.19500000000008,405.408,400.0,180.0,-0.0,0.0,1.0,True,0x0,True,46.0,48.0,51.0,54.0,54.0,55.0,65410.0,531302.375,208920.796875,326382.90625,299989.1875,334144.40625,204949.40625,1631150052968,1
